date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
27/10/18|00:01:01|279769095|6135887095|656902998400|99.96|427087536|3360455031|8333493362|95.11|816531817067|17438860379|15958517350|109174945776|2428306258|302043667|417683528|311954979|3213521|0|0|0|0|0|0|0|0|0|0|2098907.48|167792.51|13466|58640|20083616|24736765|1543270931241|12429|0|56974|95728599|15213018589|2938759|208754497|67682854|270|116855368|4|14|P-1|26|256|654322465|2557530|255.84|2:53|1023947|84419|196337|19.17|L-2|0|256|7079180494|414549964|70001197|17.1|5.9|OLDRSAM|7078994590|753341930644|4080000|307559|102249865216|21465777|3497569|0|106|49|1909371|176|-1593516617|-1457139651|1|3843|100000|0|301011.55|32383.13|333394.68|290052.82|28966.53|319019.35|316487.34|26742.88|343230.22|269308.17|28166.13|297474.30|261705.04|29828.25|291533.29|38078.79|2721.31|40800.10|24991.87|2166.11|27157.98|42906.72|987.97|43894.69|34551.53|814.62|35366.15|28592.19|692.51|29284.70|24256.69|606.15|24862.84|21356.78|569.58|21926.36|18901.39|539.85|19441.24|17559.73|494.80|18054.53|16247.11|508.33|16755.44|15832.34|464.23|16296.57|15284.24|485.72|15769.96|
27/10/18|00:01:58|279769786|6135889894|656906499550|99.96|427092685|3360489510|8333697996|95.11|816550082062|17438892588|15959189477|109177144458|2428382443|302043791|417683742|311956341|3213521|0|0|0|0|0|0|0|0|0|0|2098914.27|167793.06|13466|58640|20083616|24736765|1543275051725|12429|0|56974|95729020|15213663822|2938805|208754497|67682854|270|116855368|3|12|P-1|18|256|654329157|2557556|255.84|2:53|1023947|91111|203021|19.83|L-3|72|256|7079400886|414558063|70001237|17.1|5.9|OLDRSAM|7079214974|753358410920|4080000|315658|102249865216|21465003|3498343|0|105|49|1909420|176|-1593511152|-1457134201|1|3635|100000|0|301011.80|32383.23|333395.03|290054.71|28966.61|319021.32|316487.47|26742.88|343230.35|269308.59|28166.26|297474.85|261705.14|29828.25|291533.39|38078.80|2721.31|40800.11|24991.90|2166.13|27158.03|42908.81|987.98|43896.79|34551.54|814.63|35366.17|28592.25|692.51|29284.76|24256.70|606.16|24862.86|21356.81|569.59|21926.40|18901.63|539.86|19441.49|17559.73|494.80|18054.53|16247.11|508.33|16755.44|15832.35|464.24|16296.59|15284.24|485.72|15769.96|
27/10/18|00:02:55|279769786|6135889894|656906500487|99.96|427092685|3360489510|8333698101|95.11|816550086104|17438893136|15959189940|109177145259|2428382450|302043791|417683742|311956341|3213521|0|0|0|0|0|0|0|0|0|0|2098914.55|167793.15|13466|58640|20083616|24736765|1543275052012|12429|0|56974|95729034|15213663834|2938805|208754497|67682854|270|116855368|3|12|P-1|18|256|654329157|2557556|255.84|2:53|1023947|91111|203021|19.83|L-3|72|256|7079400886|414558063|70001237|17.1|5.9|OLDRSAM|7079214974|753358410920|4080000|315658|102249865216|21465003|3498343|0|105|49|1909421|176|-1593510595|-1457133643|1|3635|100000|0|301011.82|32383.24|333395.06|290054.72|28966.62|319021.34|316487.52|26742.88|343230.40|269308.63|28166.27|297474.90|261705.19|29828.25|291533.44|38078.80|2721.32|40800.12|24991.90|2166.13|27158.03|42908.81|987.98|43896.79|34551.55|814.63|35366.18|28592.30|692.52|29284.82|24256.70|606.17|24862.87|21356.81|569.59|21926.40|18901.64|539.86|19441.50|17559.73|494.80|18054.53|16247.11|508.33|16755.44|15832.35|464.24|16296.59|15284.24|485.72|15769.96|
27/10/18|00:03:52|279769789|6135889897|656906536885|99.96|427146966|3360668780|8333733398|95.11|816550090380|17438893718|15959190425|109177146094|2428382458|302043791|417683742|311956341|3213521|0|0|0|0|0|0|0|0|0|0|2098915.40|167794.17|13467|58644|20083619|24736765|1543275052319|12429|0|56974|95729050|15213663848|2938805|208754497|67682854|270|116855368|3|12|P-1|0|256|654331510|2557566|255.84|2:53|1023947|93464|1501|0.15|L-2|0|256|7079400889|414558137|70001239|17.1|5.9|OLDRSAM|7079214976|753358411004|4080000|315732|102249865216|21465002|3498344|0|105|49|1909422|176|-1593510035|-1457133082|1|15|100000|0|301011.84|32383.32|333395.16|290054.74|28966.68|319021.42|316487.57|26742.94|343230.51|269308.72|28166.27|297474.99|261705.25|29828.27|291533.52|38078.85|2721.34|40800.19|24991.91|2166.15|27158.06|42908.83|988.02|43896.85|34551.60|814.66|35366.26|28592.36|692.59|29284.95|24256.88|606.24|24863.12|21356.82|569.64|21926.46|18901.67|539.92|19441.59|17559.74|494.83|18054.57|16247.13|508.39|16755.52|15832.38|464.32|16296.70|15284.28|485.77|15770.05|
27/10/18|00:04:50|279769789|6135889897|656906537773|99.96|427146966|3360668780|8333733488|95.11|816550094111|17438894220|15959190856|109177146848|2428382464|302043791|417683742|311956341|3213521|0|0|0|0|0|0|0|0|0|0|2098915.66|167794.32|13467|58644|20083619|24736765|1543275052586|12429|0|56974|95729062|15213663860|2938805|208754497|67682854|270|116855368|3|12|P-1|0|256|654331510|2557566|255.84|2:53|1023947|93464|1501|0.15|L-2|0|256|7079400889|414558137|70001239|17.1|5.9|OLDRSAM|7079214976|753358411004|4080000|315732|102249865216|21465001|3498345|0|105|49|1909423|176|-1593509492|-1457132538|1|30|100000|0|301011.85|32383.34|333395.19|290054.75|28966.70|319021.45|316487.60|26742.96|343230.56|269308.77|28166.27|297475.04|261705.27|29828.29|291533.56|38078.86|2721.34|40800.20|24991.91|2166.16|27158.07|42908.84|988.03|43896.87|34551.61|814.67|35366.28|28592.41|692.59|29285.00|24256.89|606.25|24863.14|21356.82|569.64|21926.46|18901.67|539.93|19441.60|17559.74|494.83|18054.57|16247.13|508.39|16755.52|15832.38|464.32|16296.70|15284.28|485.77|15770.05|
27/10/18|00:05:47|279769789|6135889897|656906538806|99.96|427146966|3360668780|8333733578|95.11|816550097932|17438894728|15959191294|109177147678|2428382470|302043791|417683742|311956341|3213521|0|0|0|0|0|0|0|0|0|0|2098915.92|167794.46|13467|58644|20083619|24736765|1543275053035|12429|0|56974|95729074|15213663871|2938805|208754497|67682854|270|116855368|3|12|P-1|0|256|654331510|2557566|255.84|2:53|1023947|93464|1501|0.15|L-2|0|256|7079400889|414558137|70001239|17.1|5.9|OLDRSAM|7079214976|753358411004|4080000|315732|102249865216|21464981|3498365|0|105|49|1909426|176|-1593508901|-1457131944|1|30|100000|0|301011.87|32383.35|333395.22|290054.76|28966.70|319021.46|316487.63|26742.98|343230.61|269308.80|28166.29|297475.09|261705.30|29828.31|291533.61|38078.87|2721.34|40800.21|24991.91|2166.16|27158.07|42908.90|988.03|43896.93|34551.62|814.67|35366.29|28592.42|692.60|29285.02|24256.89|606.25|24863.14|21356.83|569.65|21926.48|18901.67|539.93|19441.60|17559.74|494.83|18054.57|16247.13|508.39|16755.52|15832.38|464.32|16296.70|15284.28|485.78|15770.06|
27/10/18|00:06:44|279769789|6135889897|656906540029|99.96|427146966|3360668780|8333733708|95.11|816550102320|17438895318|15959191784|109177148589|2428382480|302043791|417683742|311956343|3213521|0|0|0|0|0|0|0|0|0|0|2098916.17|167794.58|13467|58644|20083619|24736765|1543275053502|12429|0|56974|95729090|15213663885|2938805|208754497|67682854|270|116855368|3|12|P-1|26|256|654331510|2557566|255.84|2:53|1023947|93464|1527|0.15|L-2|0|256|7079400897|414558137|70001239|17.1|5.9|OLDRSAM|7079214984|753358411588|4080000|315732|102249865216|21464981|3498365|0|105|49|1909429|176|-1593508305|-1457131345|1|30|100000|0|301011.89|32383.36|333395.25|290054.77|28966.72|319021.49|316487.66|26743.00|343230.66|269308.84|28166.31|297475.15|261705.32|29828.33|291533.65|38078.88|2721.34|40800.22|24991.92|2166.16|27158.08|42908.97|988.03|43897.00|34551.63|814.67|35366.30|28592.43|692.60|29285.03|24256.90|606.25|24863.15|21356.83|569.65|21926.48|18901.68|539.93|19441.61|17559.75|494.83|18054.58|16247.13|508.39|16755.52|15832.38|464.32|16296.70|15284.28|485.78|15770.06|
27/10/18|00:07:41|279769789|6135889897|656906541003|99.96|427146966|3360668780|8333733813|95.11|816550106424|17438895874|15959192256|109177149400|2428382487|302043791|417683742|311956343|3213521|0|0|0|0|0|0|0|0|0|0|2098916.40|167794.72|13467|58644|20083619|24736765|1543275053789|12429|0|56974|95729104|15213663898|2938805|208754497|67682854|270|116855368|3|12|P-1|26|256|654331510|2557566|255.84|2:53|1023947|93464|1527|0.15|L-2|0|256|7079400897|414558137|70001239|17.1|5.9|OLDRSAM|7079214984|753358411588|4080000|315732|102249865216|21464981|3498365|0|105|49|1909430|176|-1593507757|-1457130794|1|30|100000|0|301011.92|32383.36|333395.28|290054.77|28966.74|319021.51|316487.69|26743.02|343230.71|269308.87|28166.32|297475.19|261705.33|29828.35|291533.68|38078.89|2721.35|40800.24|24991.92|2166.17|27158.09|42909.04|988.03|43897.07|34551.63|814.67|35366.30|28592.43|692.60|29285.03|24256.90|606.25|24863.15|21356.84|569.65|21926.49|18901.68|539.93|19441.61|17559.75|494.84|18054.59|16247.14|508.39|16755.53|15832.38|464.32|16296.70|15284.28|485.78|15770.06|
27/10/18|00:08:38|279769791|6135889899|656906541957|99.96|427147106|3360668986|8333733907|95.11|816550110177|17438896380|15959192690|109177150156|2428382493|302043791|417683742|311956343|3213521|0|0|0|0|0|0|0|0|0|0|2098916.74|167794.86|13468|58648|20083619|24736765|1543275054056|12429|0|56974|95729116|15213663909|2938805|208754497|67682854|270|116855368|3|12|P-1|0|256|654331545|2557567|255.84|2:53|1023947|93499|0|0.00|L-1|0|256|7079400900|414558139|70001241|17.1|5.9|OLDRSAM|7079214986|753358411672|4080000|315734|102249865216|21464980|3498366|0|105|49|1909431|176|-1593507180|-1457130216|1|5|100000|0|301011.96|32383.36|333395.32|290054.90|28966.77|319021.67|316487.72|26743.04|343230.76|269308.93|28166.36|297475.29|261705.35|29828.38|291533.73|38078.90|2721.35|40800.25|24991.92|2166.17|27158.09|42909.05|988.03|43897.08|34551.64|814.67|35366.31|28592.44|692.60|29285.04|24256.91|606.25|24863.16|21356.84|569.65|21926.49|18901.68|539.93|19441.61|17559.75|494.84|18054.59|16247.14|508.39|16755.53|15832.38|464.32|16296.70|15284.28|485.78|15770.06|
27/10/18|00:09:36|279769791|6135889899|656906543103|99.96|427147106|3360668986|8333734042|95.11|816550114691|17438896996|15959193196|109177151033|2428382502|302043791|417683742|311956343|3213521|0|0|0|0|0|0|0|0|0|0|2098916.93|167794.96|13468|58648|20083619|24736765|1543275054383|12429|0|56974|95729134|15213663924|2938805|208754497|67682854|270|116855368|3|12|P-1|0|256|654331545|2557567|255.84|2:53|1023947|93499|0|0.00|L-1|0|256|7079400900|414558139|70001241|17.1|5.9|OLDRSAM|7079214986|753358411672|4080000|315734|102249865216|21464980|3498366|0|105|49|1909432|176|-1593506604|-1457129639|1|30|100000|0|301011.99|32383.36|333395.35|290054.90|28966.79|319021.69|316487.74|26743.06|343230.80|269308.96|28166.38|297475.34|261705.38|29828.39|291533.77|38078.91|2721.35|40800.26|24991.93|2166.17|27158.10|42909.05|988.03|43897.08|34551.65|814.67|35366.32|28592.44|692.60|29285.04|24256.91|606.25|24863.16|21356.84|569.65|21926.49|18901.68|539.93|19441.61|17559.75|494.84|18054.59|16247.14|508.39|16755.53|15832.38|464.32|16296.70|15284.28|485.78|15770.06|
