date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
25/10/18|00:01:01|13305940|159096691|53323462645|99.98|11816174|115385716|212651610|94.75|138556907847|18946607335|2667776509|24257391078|60319567|12606357|1646738|8575890|4436|0|0|0|0|0|0|0|0|0|0|386809.38|88825.27|8396|36644|77566|23725|77339298237|0|0|6770|7033876|1816754793|37591|16314853|878198|216023|937645|782|801|P-1|66|256|49042979|199922|245.31|2:53|1023947|778841|21956|2.14|L-2|246|256|168286784|7059565|81229|23.8|86.9|OLDRSAM|168240155|14165518188|4080000|2828|86374424576|19325787|1761719|0|885|49|3797563|17|1800657301|1821451886|1|29|100000|0|65337.38|16227.20|81564.58|63787.59|15491.09|79278.68|61770.19|15042.67|76812.86|61881.84|15151.36|77033.20|63921.46|15796.62|79718.08|4193.66|665.41|4859.07|3297.71|602.96|3900.67|5840.45|395.46|6235.91|4542.65|354.35|4897.00|3654.49|322.38|3976.87|2961.95|298.02|3259.97|2417.80|283.74|2701.54|1969.98|276.56|2246.54|1698.55|267.27|1965.82|1483.12|241.96|1725.08|1477.38|254.27|1731.65|1389.88|251.73|1641.61|
25/10/18|00:01:56|13305940|159096691|53324344790|99.98|11816341|115430810|212745332|94.76|138568935692|18949359734|2667821413|24257609492|60329935|12610233|1646738|8577193|4436|0|0|0|0|0|0|0|0|0|0|386828.43|88828.34|8396|36644|77571|23725|77340084841|0|0|6770|7037166|1816764023|37591|16314853|878198|216023|937645|786|909|P-1|50|256|49084513|200082|245.32|2:53|1023947|822451|65550|6.40|L-3|225|256|168329551|7061307|81236|23.8|86.9|OLDRSAM|168282922|14168774724|4080000|4570|86374424576|19330729|1756777|0|890|49|3797649|17|1800824307|1821617603|1|31|100000|0|65340.73|16227.68|81568.41|63793.68|15491.98|79285.66|61773.82|15043.52|76817.34|61884.97|15151.70|77036.67|63923.74|15796.88|79720.62|4193.66|665.41|4859.07|3297.71|602.96|3900.67|5840.46|395.47|6235.93|4542.66|354.36|4897.02|3654.50|322.38|3976.88|2961.96|298.02|3259.98|2417.81|283.74|2701.55|1969.98|276.56|2246.54|1698.56|267.27|1965.83|1483.12|241.96|1725.08|1477.39|254.28|1731.67|1389.89|251.73|1641.62|
25/10/18|00:02:52|13305968|159097459|53324993747|99.98|11831642|115541284|212800232|94.75|138576081474|18950966157|2667857778|24257784843|60335973|12612451|1646740|8577959|4436|0|0|0|0|0|0|0|0|0|0|386841.44|88831.06|8397|36648|77572|23725|77340743342|0|0|6770|7038984|1816770898|37591|16314853|878198|216023|937645|785|804|P-1|10|256|49104352|200160|245.33|2:53|1023947|840214|340|0.03|L-2|1|256|168354397|7062366|81247|23.8|86.9|OLDRSAM|168307767|14170668292|4080000|5629|86374424576|19333162|1754344|0|891|49|3797733|17|1800919017|1821711499|1|5|100000|0|65342.84|16228.06|81570.90|63799.13|15493.49|79292.62|61775.73|15043.74|76819.47|61887.26|15151.96|77039.22|63924.51|15797.02|79721.53|4193.66|665.42|4859.08|3297.73|602.97|3900.70|5840.69|395.52|6236.21|4542.67|354.37|4897.04|3654.51|322.39|3976.90|2962.02|298.03|3260.05|2417.81|283.75|2701.56|1969.99|276.56|2246.55|1698.56|267.27|1965.83|1483.12|241.96|1725.08|1477.39|254.28|1731.67|1389.89|251.73|1641.62|
25/10/18|00:03:47|13305968|159097459|53325461317|99.98|11831668|115549844|212807651|94.75|138577525898|18951200287|2667897236|24257937895|60336763|12612758|1646741|8578070|4436|0|0|0|0|0|0|0|0|0|0|386847.82|88833.12|8397|36648|77572|23725|77341282461|0|0|6770|7039243|1816782466|37591|16314853|878198|216023|937645|778|796|P-2|218|256|49110834|200185|245.33|2:53|1023947|848768|9102|0.89|L-3|159|256|168357671|7062372|81248|23.8|86.9|OLDRSAM|168311041|14170918100|4080000|5635|86374424576|19326837|1760669|0|884|49|3797838|17|1800963499|1821755487|1|22|100000|0|65344.30|16228.47|81572.77|63799.90|15493.79|79293.69|61777.99|15044.50|76822.49|61888.54|15152.38|77040.92|63924.79|15797.08|79721.87|4193.67|665.43|4859.10|3297.74|602.98|3900.72|5840.78|395.52|6236.30|4542.68|354.37|4897.05|3654.52|322.39|3976.91|2962.03|298.03|3260.06|2417.82|283.75|2701.57|1970.00|276.56|2246.56|1698.57|267.27|1965.84|1483.13|241.97|1725.10|1477.40|254.28|1731.68|1389.89|251.73|1641.62|
25/10/18|00:04:42|13305968|159097459|53326221206|99.98|11831829|115592788|212877714|94.75|138586646447|18953265941|2667937599|24258132164|60344581|12615572|1646741|8579051|4436|0|0|0|0|0|0|0|0|0|0|386863.34|88835.95|8397|36648|77576|23725|77342038721|0|0|6770|7041597|1816790578|37591|16314853|878198|216023|937645|786|836|P-2|98|256|49151016|200340|245.34|2:53|1023947|891808|52022|5.08|L-1|37|256|168389704|7063576|81254|23.8|86.9|OLDRSAM|168343074|14173360524|4080000|7095|86374424576|19333252|1754254|0|893|49|3797928|17|1801103047|1821893916|1|30|100000|0|65348.07|16228.86|81576.93|63804.10|15494.92|79299.02|61780.36|15044.91|76825.27|61891.36|15152.74|77044.10|63926.96|15797.51|79724.47|4193.68|665.43|4859.11|3297.74|602.98|3900.72|5840.78|395.52|6236.30|4542.68|354.37|4897.05|3654.52|322.40|3976.92|2962.04|298.03|3260.07|2417.83|283.76|2701.59|1970.00|276.56|2246.56|1698.58|267.27|1965.85|1483.14|241.97|1725.11|1477.40|254.28|1731.68|1389.90|251.74|1641.64|
25/10/18|00:05:37|13305968|159097459|53327575217|99.98|11832096|115657159|213058663|94.76|138609495137|18958566142|2667999039|24258446405|60364786|12622850|1646741|8581572|4436|0|0|0|0|0|0|0|0|0|0|386895.81|88840.53|8397|36648|77583|23725|77343105865|0|0|6770|7047707|1816804436|37591|16314853|878198|216023|937645|788|807|P-1|50|256|49215812|200590|245.36|2:53|1023947|951674|111840|10.92|L-2|48|256|168472444|7066781|81271|23.8|87.0|OLDRSAM|168425814|14179665984|4080000|10044|86374424576|19335150|1752356|0|894|49|3798022|17|1801372618|1822161586|1|40|100000|0|65357.33|16229.99|81587.32|63809.39|15495.90|79305.29|61784.61|15045.48|76830.09|61899.81|15153.71|77053.52|63931.75|15798.29|79730.04|4193.69|665.44|4859.13|3297.76|602.99|3900.75|5840.79|395.52|6236.31|4542.69|354.38|4897.07|3654.53|322.40|3976.93|2962.07|298.04|3260.11|2417.85|283.76|2701.61|1970.01|276.57|2246.58|1698.59|267.27|1965.86|1483.14|241.97|1725.11|1477.41|254.28|1731.69|1389.91|251.74|1641.65|
25/10/18|00:06:33|13305986|159097495|53327941076|99.98|11832100|115658199|213061562|94.76|138610287183|18958677535|2668025171|24258560968|60365115|12622961|1646741|8581623|4436|0|0|0|0|0|0|0|0|0|0|386900.34|88842.19|8397|36648|77583|23726|77343597674|0|0|6770|7047807|1816808846|37591|16314853|878198|216023|937648|780|800|P-1|50|256|49216852|200594|245.36|2:53|1023947|952714|112880|11.02|L-2|100|256|168473780|7066781|81271|23.8|87.0|OLDRSAM|168427150|14179770420|4080000|10044|86374424576|19329726|1757780|0|887|49|3798097|17|1801404386|1822192931|1|40|100000|0|65357.70|16230.06|81587.76|63810.91|15496.51|79307.42|61786.11|15046.05|76832.16|61900.46|15153.93|77054.39|63931.96|15798.35|79730.31|4193.69|665.44|4859.13|3297.77|602.99|3900.76|5840.80|395.53|6236.33|4542.69|354.39|4897.08|3654.54|322.40|3976.94|2962.08|298.04|3260.12|2417.86|283.76|2701.62|1970.02|276.57|2246.59|1698.63|267.28|1965.91|1483.15|241.97|1725.12|1477.42|254.29|1731.71|1389.92|251.74|1641.66|
25/10/18|00:07:28|13305986|159097495|53329051152|99.98|11832233|115693595|213196832|94.76|138627519772|18962655070|2668076403|24258821401|60380205|12628418|1646741|8583497|4436|0|0|0|0|0|0|0|0|0|0|386926.06|88845.93|8397|36648|77590|23727|77344531529|0|0|6770|7052301|1816819736|37591|16314853|878198|216023|937648|788|850|P-1|42|256|49248912|200718|245.36|2:53|1023947|987366|147524|14.41|L-3|82|256|168535610|7069085|81280|23.8|87.0|OLDRSAM|168488980|14184481924|4080000|12604|86374424576|19334457|1753049|0|895|49|3798202|17|1801639554|1822426437|1|42|100000|0|65365.42|16231.16|81596.58|63816.19|15497.28|79313.47|61792.60|15046.69|76839.29|61905.41|15154.83|77060.24|63932.96|15798.49|79731.45|4193.70|665.44|4859.14|3297.78|602.99|3900.77|5840.81|395.53|6236.34|4542.70|354.39|4897.09|3654.54|322.41|3976.95|2962.09|298.05|3260.14|2417.87|283.77|2701.64|1970.03|276.58|2246.61|1698.64|267.28|1965.92|1483.16|241.98|1725.14|1477.42|254.29|1731.71|1389.93|251.75|1641.68|
25/10/18|00:08:23|13305991|159097514|53329689720|99.98|11860384|115877672|213254574|94.75|138635003572|18964347118|2668111872|24258988618|60386582|12630718|1646741|8584297|4436|0|0|0|0|0|0|0|0|0|0|386939.68|88848.75|8398|36652|77593|23727|77345134307|0|0|6770|7054209|1816826884|37591|16314853|878198|216023|937648|783|803|P-2|12|256|49260370|200763|245.37|2:53|1023947|996232|358|0.03|L-2|1|256|168561730|7070202|81286|23.8|87.0|OLDRSAM|168515099|14186472568|4080000|13465|86374424576|19334235|1753271|0|889|49|3798300|17|1801732539|1822518614|1|15|100000|0|65371.53|16232.56|81604.09|63819.39|15498.02|79317.41|61795.04|15046.99|76842.03|61906.23|15154.92|77061.15|63933.61|15798.59|79732.20|4193.71|665.45|4859.16|3297.79|603.00|3900.79|5840.83|395.55|6236.38|4542.71|354.39|4897.10|3654.56|322.42|3976.98|2962.11|298.06|3260.17|2417.89|283.78|2701.67|1970.04|276.59|2246.63|1698.66|267.29|1965.95|1483.18|241.98|1725.16|1477.43|254.29|1731.72|1389.93|251.75|1641.68|
25/10/18|00:09:18|13305991|159097514|53330076114|99.98|11860384|115877672|213254708|94.75|138635483674|18964377051|2668138546|24259111202|60386590|12630728|1646741|8584305|4436|0|0|0|0|0|0|0|0|0|0|386943.96|88850.42|8398|36652|77593|23727|77345664054|0|0|6770|7054225|1816831021|37591|16314853|878198|216023|937648|773|796|P-2|12|256|49260370|200763|245.37|2:53|1023947|996232|358|0.03|L-2|4|256|168561766|7070202|81286|23.8|87.0|OLDRSAM|168515135|14186476248|4080000|13465|86374424576|19324658|1762848|0|879|49|3798400|17|1801761839|1822547489|1|15|100000|0|65372.12|16232.78|81604.90|63820.28|15498.40|79318.68|61796.43|15047.54|76843.97|61906.74|15155.15|77061.89|63934.26|15798.83|79733.09|4193.72|665.45|4859.17|3297.80|603.00|3900.80|5840.84|395.55|6236.39|4542.72|354.39|4897.11|3654.57|322.42|3976.99|2962.12|298.06|3260.18|2417.90|283.78|2701.68|1970.04|276.59|2246.63|1698.67|267.29|1965.96|1483.19|241.99|1725.18|1477.44|254.30|1731.74|1389.94|251.75|1641.69|
