date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|user18|sys18|total18|user19|sys19|total19|user20|sys20|total20|user21|sys21|total21|user22|sys22|total22|user23|sys23|total23|user24|sys24|total24|user25|sys25|total25|user26|sys26|total26|user27|sys27|total27|user28|sys28|total28|user29|sys29|total29|user30|sys30|total30|user31|sys31|total31|user32|sys32|total32|user33|sys33|total33|user34|sys34|total34|user35|sys35|total35|user36|sys36|total36|user37|sys37|total37|user38|sys38|total38|user39|sys39|total39|user40|sys40|total40|pagesize2|dskreads2|pagereads2|buffreads2|rcachepc2|dskwrits2|pagwrits2|bufwrits2|wcachepc2|bufwrits_sinceckpt2|bufwaits2|ovbuff2|flushes2|fgwrits2|lruwrites2|avlru2|chunkwrites2|totalmemory2|id2|size2|buffers2|pagesize4|dskreads4|pagereads4|buffreads4|rcachepc4|dskwrits4|pagwrits4|bufwrits4|wcachepc4|bufwrits_sinceckpt4|bufwaits4|ovbuff4|flushes4|fgwrits4|lruwrites4|avlru4|chunkwrites4|totalmemory4|id4|size4|buffers4|pagesize8|dskreads8|pagereads8|buffreads8|rcachepc8|dskwrits8|pagwrits8|bufwrits8|wcachepc8|bufwrits_sinceckpt8|bufwaits8|ovbuff8|flushes8|fgwrits8|lruwrites8|avlru8|chunkwrites8|totalmemory8|id8|size8|buffers8|pagesize16|dskreads16|pagereads16|buffreads16|rcachepc16|dskwrits16|pagwrits16|bufwrits16|wcachepc16|bufwrits_sinceckpt16|bufwaits16|ovbuff16|flushes16|fgwrits16|lruwrites16|avlru16|chunkwrites16|totalmemory16|id16|size16|buffers16|
05/11/18|00:01:01|1317692|15190637|2230487925|99.94|8962687|77027091|62647128|85.79|23557199753|4955145158|276511397|885615598|12086848|4093217|1472|2573008|891|0|0|0|0|0|0|0|0|0|0|60110.19|11152.96|779|3144|30648|71|2207868409|0|0|739|1591306|185354253|8971|1027|196338|2|140115|784|804|P-1|12|256|11999997|48090|249.53|2:53|1023947|550032|30|0.00|L-1|2|256|53829177|2142556|16071|25.1|133.3|OLDRSAM|53828398|4313064996|4080000|3529|86374424576|19205977|1881529|0|886|49|499183|239|307971654|306940783|1|15|100000|0|8937.71|1884.64|10822.35|8259.22|1768.89|10028.11|8373.82|1809.72|10183.54|8145.90|1764.88|9910.78|8196.35|1710.81|9907.16|2116.27|180.03|2296.30|1714.95|152.80|1867.75|1534.95|119.04|1653.99|1265.07|100.77|1365.84|1024.35|85.25|1109.60|822.16|73.64|895.80|674.34|66.77|741.11|555.24|58.90|614.14|474.21|53.41|527.62|416.97|50.90|467.87|363.45|47.49|410.94|339.24|46.88|386.12|324.78|46.44|371.22|307.55|45.15|352.70|303.32|45.27|348.59|297.13|44.86|341.99|290.31|43.85|334.16|289.84|44.49|334.33|292.31|45.03|337.34|289.33|45.61|334.94|285.99|45.96|331.95|283.41|46.13|329.54|288.86|47.73|336.59|292.02|48.10|340.12|290.37|49.02|339.39|295.35|49.73|345.08|295.11|51.06|346.17|291.29|50.88|342.17|297.34|51.77|349.11|295.54|53.05|348.59|294.08|53.65|347.73|292.15|54.24|346.39|296.88|53.97|350.85|299.44|55.14|354.58|360.55|51.31|411.86|2|158838|2702273|35202414|99.55|188790|14460059|19201435|99.02|91|328|0|780|0|2480|0.003|31936|216Mb|0|216Mb|100000|4|756576|5356544|1341202452|99.94|1186465|2372892|7094000|83.28|26|4294|0|762|0|755226|0.005|431239|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670751|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826412308|99.97|7461767|59691480|31186898|76.07|71|25625|0|780|0|7172372|0.003|289395|31636Mb|0|31636Mb|2000000|
05/11/18|00:01:57|1317692|15190637|2230772243|99.94|8962687|77027091|62647235|85.79|23557568441|4955172122|276535255|885723684|12086854|4093230|1472|2573017|891|0|0|0|0|0|0|0|0|0|0|60114.29|11154.70|779|3144|30648|71|2208190936|0|0|739|1591318|185357876|8971|1027|196338|2|140115|784|804|P-1|12|256|11999997|48090|249.53|2:53|1023947|550032|30|0.00|L-1|4|256|53829217|2142556|16071|25.1|133.3|OLDRSAM|53828438|4313069068|4080000|3529|86374424576|19205876|1881630|0|886|49|499277|239|307998433|306967144|1|15|100000|0|8937.84|1884.70|10822.54|8260.60|1769.44|10030.04|8374.33|1809.95|10184.28|8146.80|1765.28|9912.08|8197.45|1711.22|9908.67|2116.28|180.03|2296.31|1714.95|152.80|1867.75|1534.95|119.05|1654.00|1265.08|100.77|1365.85|1024.36|85.26|1109.62|822.16|73.64|895.80|674.34|66.77|741.11|555.24|58.90|614.14|474.21|53.42|527.63|416.98|50.91|467.89|363.45|47.50|410.95|339.24|46.88|386.12|324.78|46.44|371.22|307.55|45.15|352.70|303.32|45.27|348.59|297.13|44.87|342.00|290.31|43.85|334.16|289.84|44.49|334.33|292.32|45.03|337.35|289.33|45.62|334.95|285.99|45.96|331.95|283.41|46.14|329.55|288.86|47.73|336.59|292.02|48.10|340.12|290.38|49.02|339.40|295.35|49.73|345.08|295.11|51.06|346.17|291.29|50.88|342.17|297.34|51.77|349.11|295.54|53.05|348.59|294.08|53.65|347.73|292.16|54.24|346.40|296.88|53.97|350.85|299.44|55.14|354.58|360.55|51.31|411.86|2|158838|2702273|35203734|99.55|188790|14460059|19201525|99.02|181|328|0|780|0|2480|0.003|31936|216Mb|0|216Mb|100000|4|756576|5356544|1341483098|99.94|1186465|2372892|7094013|83.28|39|4294|0|762|0|755226|0.005|431239|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670751|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826414660|99.97|7461767|59691480|31186902|76.07|75|25625|0|780|0|7172372|0.003|289395|31636Mb|0|31636Mb|2000000|
05/11/18|00:02:52|1317692|15190637|2231087950|99.94|8962687|77027091|62647394|85.79|23558012323|4955201863|276574520|885847541|12086863|4093257|1473|2573038|891|0|0|0|0|0|0|0|0|0|0|60118.70|11156.42|779|3144|30648|71|2208573602|0|0|739|1591331|185369311|8971|1027|196338|2|140115|784|804|P-1|60|256|11999997|48090|249.53|2:53|1023947|550032|78|0.01|L-1|9|256|53829314|2142556|16071|25.1|133.3|OLDRSAM|53828535|4313078300|4080000|3529|86374424576|19205767|1881739|0|886|49|499371|239|308028913|306997177|1|15|100000|0|8937.99|1884.75|10822.74|8261.23|1769.67|10030.90|8374.47|1809.99|10184.46|8149.91|1766.49|9916.40|8197.67|1711.29|9908.96|2116.28|180.04|2296.32|1714.95|152.81|1867.76|1534.96|119.05|1654.01|1265.11|100.77|1365.88|1024.36|85.26|1109.62|822.16|73.64|895.80|674.34|66.77|741.11|555.24|58.90|614.14|474.22|53.42|527.64|416.98|50.91|467.89|363.45|47.50|410.95|339.24|46.88|386.12|324.79|46.44|371.23|307.55|45.15|352.70|303.33|45.27|348.60|297.13|44.87|342.00|290.31|43.86|334.17|289.84|44.50|334.34|292.32|45.04|337.36|289.33|45.62|334.95|286.00|45.96|331.96|283.42|46.14|329.56|288.86|47.73|336.59|292.03|48.10|340.13|290.38|49.03|339.41|295.35|49.73|345.08|295.12|51.07|346.19|291.29|50.89|342.18|297.34|51.77|349.11|295.55|53.06|348.61|294.08|53.65|347.73|292.16|54.24|346.40|296.88|53.97|350.85|299.45|55.14|354.59|360.55|51.32|411.87|2|158838|2702273|35205397|99.55|188790|14460059|19201631|99.02|287|328|0|780|0|2480|0.003|31936|216Mb|0|216Mb|100000|4|756576|5356544|1341794323|99.94|1186465|2372892|7094050|83.28|76|4294|0|762|0|755226|0.005|431239|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670779|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826417451|99.97|7461767|59691480|31186918|76.07|91|25625|0|780|0|7172372|0.003|289395|31636Mb|0|31636Mb|2000000|
05/11/18|00:03:47|1317692|15190637|2231375973|99.94|8962687|77027091|62647630|85.79|23558386833|4955227787|276598402|885954757|12086869|4093265|1473|2573046|891|0|0|0|0|0|0|0|0|0|0|60122.80|11158.17|779|3144|30648|71|2208917957|0|0|739|1591353|185373195|8971|1027|196338|2|140115|784|804|P-1|60|256|11999997|48090|249.53|2:53|1023947|550032|78|0.01|L-1|10|256|53829350|2142556|16071|25.1|133.3|OLDRSAM|53828571|4313081980|4080000|3529|86374424576|19205968|1881538|0|886|49|499451|239|308055407|307023209|1|24|100000|0|8938.12|1884.80|10822.92|8261.38|1769.73|10031.11|8377.88|1811.43|10189.31|8150.01|1766.55|9916.56|8197.87|1711.37|9909.24|2116.29|180.04|2296.33|1714.96|152.81|1867.77|1534.96|119.05|1654.01|1265.14|100.77|1365.91|1024.36|85.26|1109.62|822.17|73.65|895.82|674.35|66.77|741.12|555.24|58.90|614.14|474.22|53.42|527.64|416.98|50.91|467.89|363.45|47.50|410.95|339.24|46.88|386.12|324.79|46.44|371.23|307.55|45.15|352.70|303.33|45.28|348.61|297.13|44.87|342.00|290.31|43.86|334.17|289.84|44.50|334.34|292.32|45.04|337.36|289.33|45.62|334.95|286.00|45.96|331.96|283.42|46.14|329.56|288.86|47.73|336.59|292.03|48.10|340.13|290.38|49.03|339.41|295.35|49.74|345.09|295.12|51.07|346.19|291.29|50.89|342.18|297.35|51.77|349.12|295.55|53.06|348.61|294.09|53.65|347.74|292.16|54.25|346.41|296.88|53.98|350.86|299.45|55.14|354.59|360.56|51.32|411.88|2|158838|2702273|35206720|99.55|188790|14460059|19201855|99.02|511|328|0|780|0|2480|0.003|31936|216Mb|0|216Mb|100000|4|756576|5356544|1342078545|99.94|1186465|2372892|7094058|83.28|84|4294|0|762|0|755226|0.005|431239|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670779|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826419929|99.97|7461767|59691480|31186922|76.07|95|25625|0|780|0|7172372|0.003|289395|31636Mb|0|31636Mb|2000000|
05/11/18|00:04:42|1317692|15190637|2231635353|99.94|8962687|77027091|62647763|85.79|23558754780|4955258245|276620198|886051686|12086879|4093284|1473|2573063|891|0|0|0|0|0|0|0|0|0|0|60127.12|11159.97|779|3144|30648|71|2209239417|0|0|739|1591366|185376874|8971|1027|196338|2|140115|791|811|P-1|148|256|11999997|48090|249.53|2:53|1023947|550032|166|0.02|L-1|16|256|53829436|2142556|16071|25.1|133.3|OLDRSAM|53828657|4313090940|4080000|3529|86374424576|19206661|1880845|0|893|49|499556|239|308085286|307052633|1|24|100000|0|8938.28|1884.86|10823.14|8261.57|1769.82|10031.39|8380.54|1812.52|10193.06|8150.57|1766.82|9917.39|8198.50|1711.60|9910.10|2116.30|180.04|2296.34|1714.96|152.81|1867.77|1534.97|119.05|1654.02|1265.14|100.77|1365.91|1024.36|85.26|1109.62|822.17|73.65|895.82|674.35|66.78|741.13|555.24|58.91|614.15|474.22|53.42|527.64|416.98|50.91|467.89|363.46|47.50|410.96|339.24|46.89|386.13|324.79|46.45|371.24|307.56|45.15|352.71|303.33|45.28|348.61|297.14|44.87|342.01|290.31|43.86|334.17|289.85|44.50|334.35|292.32|45.04|337.36|289.33|45.62|334.95|286.00|45.96|331.96|283.42|46.14|329.56|288.86|47.73|336.59|292.03|48.10|340.13|290.39|49.03|339.42|295.36|49.74|345.10|295.12|51.07|346.19|291.30|50.89|342.19|297.35|51.77|349.12|295.55|53.06|348.61|294.09|53.65|347.74|292.17|54.25|346.42|296.89|53.98|350.87|299.45|55.15|354.60|360.56|51.32|411.88|2|158838|2702273|35208196|99.55|188790|14460059|19201960|99.02|616|328|0|780|0|2480|0.003|31936|216Mb|0|216Mb|100000|4|756576|5356544|1342365757|99.94|1186465|2372892|7094093|83.28|119|4294|0|762|0|755226|0.005|431239|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670779|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826422790|99.97|7461767|59691480|31186938|76.07|111|25625|0|780|0|7172372|0.003|289395|31636Mb|0|31636Mb|2000000|
05/11/18|00:05:38|1317694|15190639|2231927252|99.94|8962857|77028189|62648096|85.79|23559146712|4955289680|276646116|886163282|12086886|4093301|1473|2573077|891|0|0|0|0|0|0|0|0|0|0|60131.36|11161.73|780|3148|30648|71|2209593788|0|0|739|1591390|185381408|8971|1027|196338|2|140115|789|809|P-2|0|256|12000494|48093|249.53|2:53|1023947|550529|78|0.01|L-1|0|256|53829503|2142577|16074|25.1|133.3|OLDRSAM|53828723|4313097952|4080000|3550|86374424576|19206729|1880777|0|891|49|499649|239|308112143|307079043|1|15|100000|0|8940.16|1885.62|10825.78|8262.15|1770.05|10032.20|8381.43|1812.90|10194.33|8150.69|1766.88|9917.57|8199.11|1711.84|9910.95|2116.30|180.05|2296.35|1714.97|152.82|1867.79|1534.98|119.05|1654.03|1265.15|100.77|1365.92|1024.37|85.26|1109.63|822.17|73.65|895.82|674.35|66.78|741.13|555.24|58.91|614.15|474.29|53.42|527.71|416.98|50.92|467.90|363.46|47.50|410.96|339.24|46.89|386.13|324.79|46.45|371.24|307.56|45.15|352.71|303.33|45.28|348.61|297.14|44.87|342.01|290.31|43.86|334.17|289.85|44.50|334.35|292.33|45.04|337.37|289.34|45.62|334.96|286.00|45.97|331.97|283.42|46.14|329.56|288.86|47.74|336.60|292.03|48.11|340.14|290.39|49.03|339.42|295.36|49.74|345.10|295.12|51.07|346.19|291.30|50.89|342.19|297.36|51.78|349.14|295.56|53.06|348.62|294.09|53.65|347.74|292.17|54.25|346.42|296.89|53.99|350.88|299.45|55.15|354.60|360.57|51.32|411.89|2|158840|2702275|35209628|99.55|188856|14460637|19202185|99.02|31|328|0|781|0|2480|0.003|31961|216Mb|0|216Mb|100000|4|756576|5356544|1342621544|99.94|1186517|2372996|7094135|83.27|32|4294|0|763|0|755226|0.005|431291|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670779|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826425301|99.97|7461819|59691896|31186981|76.07|39|25625|0|781|0|7172372|0.003|289447|31636Mb|0|31636Mb|2000000|
05/11/18|00:06:33|1317694|15190639|2232220155|99.94|8962857|77028189|62648209|85.79|23559521261|4955316944|276671544|886274940|12086892|4093316|1473|2573089|891|0|0|0|0|0|0|0|0|0|0|60135.77|11163.54|780|3148|30648|71|2209924347|0|0|739|1591403|185385478|8971|1027|196338|2|140115|784|805|P-2|12|256|12000494|48093|249.53|2:53|1023947|550529|90|0.01|L-1|3|256|53829559|2142577|16074|25.1|133.3|OLDRSAM|53828779|4313103776|4080000|3550|86374424576|19205564|1881942|0|886|49|499769|239|308141621|307108086|1|15|100000|0|8941.10|1886.00|10827.10|8262.77|1770.32|10033.09|8382.01|1813.12|10195.13|8152.08|1767.44|9919.52|8199.76|1712.08|9911.84|2116.31|180.06|2296.37|1714.97|152.82|1867.79|1535.01|119.06|1654.07|1265.15|100.78|1365.93|1024.37|85.27|1109.64|822.18|73.65|895.83|674.36|66.78|741.14|555.25|58.91|614.16|474.30|53.42|527.72|416.99|50.92|467.91|363.46|47.51|410.97|339.24|46.90|386.14|324.80|46.45|371.25|307.56|45.16|352.72|303.33|45.29|348.62|297.14|44.87|342.01|290.32|43.86|334.18|289.86|44.51|334.37|292.33|45.04|337.37|289.34|45.62|334.96|286.01|45.97|331.98|283.42|46.15|329.57|288.87|47.74|336.61|292.04|48.11|340.15|290.40|49.03|339.43|295.36|49.74|345.10|295.13|51.07|346.20|291.31|50.89|342.20|297.36|51.78|349.14|295.57|53.07|348.64|294.10|53.66|347.76|292.18|54.25|346.43|296.89|53.99|350.88|299.46|55.15|354.61|360.57|51.33|411.90|2|158840|2702275|35211038|99.55|188856|14460637|19202275|99.02|121|328|0|781|0|2480|0.003|31961|216Mb|0|216Mb|100000|4|756576|5356544|1342910636|99.94|1186517|2372996|7094150|83.27|47|4294|0|763|0|755226|0.005|431291|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670779|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826427702|99.97|7461819|59691896|31186989|76.07|47|25625|0|781|0|7172372|0.003|289447|31636Mb|0|31636Mb|2000000|
05/11/18|00:07:28|1317695|15190641|2232592438|99.94|8962857|77028189|62648394|85.79|23560038536|4955344990|276710091|886419803|12086903|4093340|1474|2573108|891|0|0|0|0|0|0|0|0|0|0|60140.20|11165.24|780|3148|30648|71|2210363667|0|0|739|1591420|185397299|8971|1027|196338|2|140115|783|804|P-2|66|256|12000494|48093|249.53|2:53|1023947|550529|144|0.01|L-1|7|256|53829644|2142577|16074|25.1|133.3|OLDRSAM|53828864|4313111712|4080000|3550|86374424576|19204721|1882785|0|885|49|499854|239|308169958|307135985|1|15|100000|0|8944.03|1887.11|10831.14|8262.90|1770.38|10033.28|8382.58|1813.34|10195.92|8152.59|1767.64|9920.23|8199.90|1712.13|9912.03|2116.32|180.06|2296.38|1714.98|152.82|1867.80|1535.01|119.06|1654.07|1265.16|100.78|1365.94|1024.38|85.27|1109.65|822.19|73.65|895.84|674.36|66.78|741.14|555.25|58.91|614.16|474.30|53.43|527.73|416.99|50.92|467.91|363.47|47.51|410.98|339.24|46.90|386.14|324.80|46.45|371.25|307.57|45.16|352.73|303.33|45.29|348.62|297.15|44.87|342.02|290.32|43.87|334.19|289.86|44.51|334.37|292.33|45.04|337.37|289.34|45.62|334.96|286.01|45.97|331.98|283.43|46.15|329.58|288.87|47.74|336.61|292.05|48.11|340.16|290.40|49.03|339.43|295.36|49.75|345.11|295.14|51.07|346.21|291.31|50.89|342.20|297.37|51.78|349.15|295.57|53.07|348.64|294.10|53.66|347.76|292.18|54.25|346.43|296.90|53.99|350.89|299.47|55.15|354.62|360.57|51.33|411.90|2|158840|2702275|35212798|99.55|188856|14460637|19202411|99.02|257|328|0|781|0|2480|0.003|31961|216Mb|0|216Mb|100000|4|756577|5356546|1343243654|99.94|1186517|2372996|7094187|83.27|84|4294|0|763|0|755226|0.005|431291|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670807|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826465179|99.97|7461819|59691896|31187001|76.07|59|25625|0|781|0|7172372|0.003|289447|31636Mb|0|31636Mb|2000000|
05/11/18|00:08:23|1317695|15190641|2232876938|99.94|8962857|77028189|62648507|85.79|23560408698|4955373112|276735171|886529992|12086909|4093355|1474|2573120|891|0|0|0|0|0|0|0|0|0|0|60144.36|11166.96|780|3148|30648|71|2210679624|0|0|739|1591432|185401108|8971|1027|196338|2|140115|784|805|P-2|66|256|12000494|48093|249.53|2:53|1023947|550529|144|0.01|L-1|10|256|53829700|2142577|16074|25.1|133.3|OLDRSAM|53828920|4313117536|4080000|3550|86374424576|19204349|1883157|0|886|49|499948|239|308199109|307164700|1|15|100000|0|8944.60|1887.35|10831.95|8264.26|1770.98|10035.24|8382.77|1813.40|10196.17|8152.72|1767.70|9920.42|8201.72|1712.82|9914.54|2116.32|180.07|2296.39|1714.98|152.83|1867.81|1535.02|119.06|1654.08|1265.16|100.78|1365.94|1024.38|85.27|1109.65|822.19|73.65|895.84|674.36|66.78|741.14|555.25|58.91|614.16|474.30|53.43|527.73|416.99|50.92|467.91|363.47|47.51|410.98|339.24|46.90|386.14|324.80|46.45|371.25|307.57|45.16|352.73|303.33|45.29|348.62|297.15|44.87|342.02|290.32|43.87|334.19|289.87|44.51|334.38|292.34|45.05|337.39|289.35|45.62|334.97|286.01|45.97|331.98|283.43|46.15|329.58|288.87|47.74|336.61|292.05|48.11|340.16|290.40|49.03|339.43|295.36|49.75|345.11|295.14|51.08|346.22|291.32|50.89|342.21|297.37|51.78|349.15|295.58|53.07|348.65|294.11|53.66|347.77|292.18|54.26|346.44|296.90|53.99|350.89|299.47|55.15|354.62|360.58|51.33|411.91|2|158840|2702275|35214112|99.55|188856|14460637|19202501|99.02|347|328|0|781|0|2480|0.003|31961|216Mb|0|216Mb|100000|4|756577|5356546|1343524530|99.94|1186517|2372996|7094202|83.27|99|4294|0|763|0|755226|0.005|431291|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670807|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826467489|99.97|7461819|59691896|31187009|76.07|67|25625|0|781|0|7172372|0.003|289447|31636Mb|0|31636Mb|2000000|
05/11/18|00:09:19|1317695|15190641|2233159181|99.94|8962857|77028189|62648748|85.79|23560771072|4955398717|276759056|886637384|12086915|4093368|1474|2573131|891|0|0|0|0|0|0|0|0|0|0|60148.10|11168.40|780|3148|30648|71|2211042432|0|0|739|1591454|185404929|8971|1027|196338|2|140115|785|806|P-2|66|256|12000494|48093|249.53|2:53|1023947|550529|144|0.01|L-1|12|256|53829748|2142577|16074|25.1|133.3|OLDRSAM|53828968|4313122456|4080000|3550|86374424576|19204779|1882727|0|886|49|500019|239|308223938|307189098|1|24|100000|0|8944.75|1887.40|10832.15|8264.42|1771.04|10035.46|8382.96|1813.46|10196.42|8152.83|1767.74|9920.57|8204.79|1714.01|9918.80|2116.33|180.07|2296.40|1714.99|152.83|1867.82|1535.02|119.06|1654.08|1265.16|100.78|1365.94|1024.38|85.27|1109.65|822.19|73.65|895.84|674.36|66.78|741.14|555.26|58.91|614.17|474.30|53.43|527.73|416.99|50.92|467.91|363.47|47.51|410.98|339.24|46.90|386.14|324.80|46.45|371.25|307.57|45.16|352.73|303.33|45.29|348.62|297.15|44.87|342.02|290.32|43.87|334.19|289.87|44.51|334.38|292.34|45.05|337.39|289.35|45.62|334.97|286.01|45.97|331.98|283.43|46.15|329.58|288.87|47.74|336.61|292.05|48.11|340.16|290.40|49.03|339.43|295.37|49.75|345.12|295.14|51.08|346.22|291.32|50.89|342.21|297.37|51.79|349.16|295.58|53.07|348.65|294.11|53.66|347.77|292.19|54.26|346.45|296.90|54.00|350.90|299.47|55.16|354.63|360.58|51.33|411.91|2|158840|2702275|35215457|99.55|188856|14460637|19202725|99.02|571|328|0|781|0|2480|0.003|31961|216Mb|0|216Mb|100000|4|756577|5356546|1343808791|99.94|1186517|2372996|7094215|83.27|112|4294|0|763|0|755226|0.005|431291|8198Mb|0|8198Mb|2000000|8|145533|1865860|27670807|99.47|125665|502660|5164795|97.57|0|401|0|106|0|0|0|125665|32022Mb|0|32022Mb|4000000|16|256745|5265960|826470272|99.97|7461819|59691896|31187013|76.07|71|25625|0|781|0|7172372|0.003|289447|31636Mb|0|31636Mb|2000000|
