date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|user18|sys18|total18|user19|sys19|total19|user20|sys20|total20|user21|sys21|total21|user22|sys22|total22|user23|sys23|total23|user24|sys24|total24|user25|sys25|total25|user26|sys26|total26|user27|sys27|total27|user28|sys28|total28|user29|sys29|total29|user30|sys30|total30|user31|sys31|total31|user32|sys32|total32|user33|sys33|total33|user34|sys34|total34|user35|sys35|total35|user36|sys36|total36|user37|sys37|total37|user38|sys38|total38|user39|sys39|total39|user40|sys40|total40|pagesize2|dskreads2|pagereads2|buffreads2|rcachepc2|dskwrits2|pagwrits2|bufwrits2|wcachepc2|bufwrits_sinceckpt2|bufwaits2|ovbuff2|flushes2|fgwrits2|lruwrites2|avlru2|chunkwrites2|totalmemory2|id2|size2|buffers2|pagesize4|dskreads4|pagereads4|buffreads4|rcachepc4|dskwrits4|pagwrits4|bufwrits4|wcachepc4|bufwrits_sinceckpt4|bufwaits4|ovbuff4|flushes4|fgwrits4|lruwrites4|avlru4|chunkwrites4|totalmemory4|id4|size4|buffers4|pagesize8|dskreads8|pagereads8|buffreads8|rcachepc8|dskwrits8|pagwrits8|bufwrits8|wcachepc8|bufwrits_sinceckpt8|bufwaits8|ovbuff8|flushes8|fgwrits8|lruwrites8|avlru8|chunkwrites8|totalmemory8|id8|size8|buffers8|pagesize16|dskreads16|pagereads16|buffreads16|rcachepc16|dskwrits16|pagwrits16|bufwrits16|wcachepc16|bufwrits_sinceckpt16|bufwaits16|ovbuff16|flushes16|fgwrits16|lruwrites16|avlru16|chunkwrites16|totalmemory16|id16|size16|buffers16|
11/11/18|00:01:01|177390169|3277897139|358569396311|99.95|184535995|2805016867|4210810114|97.07|607523555910|10373241767|11177971816|98629305136|1105616770|222680010|201317490|239722301|6470323|0|0|0|0|0|0|0|0|0|0|923562.91|65206.38|4414|19248|18065657|9467209|931014628887|51|0|25740|37942239|10702896743|4729782|93169938|6770135|2|47106849|1097|1136|P-2|182|256|292666791|1138826|256.99|2:53|1023947|725441|46333|4.52|L-2|66|256|4039734073|187272985|1314803|21.6|142.4|OLDRSAM|4039716970|377027392520|4080000|43490|99305463808|22125715|2118783|0|1204|49|680394|492|-1267242578|-1007426941|1|60|100000|0|113642.01|12588.67|126230.68|109622.35|10873.09|120495.44|107043.15|10821.78|117864.93|105782.90|11215.86|116998.76|91703.22|9614.01|101317.23|13974.80|1190.67|15165.47|10230.47|956.05|11186.52|19181.86|486.29|19668.15|16821.99|421.65|17243.64|15404.83|366.74|15771.57|13293.84|323.40|13617.24|11790.00|289.80|12079.80|10727.34|264.32|10991.66|9998.50|248.22|10246.72|9687.03|234.35|9921.38|9332.27|228.23|9560.50|9184.43|220.04|9404.47|8886.59|215.41|9102.00|8632.92|207.46|8840.38|8590.82|208.82|8799.64|8695.94|212.45|8908.39|8780.52|206.45|8986.97|8705.27|202.64|8907.91|8718.48|198.71|8917.19|9111.26|199.59|9310.85|9204.39|201.79|9406.18|9214.69|196.35|9411.04|9812.30|195.99|10008.29|9459.07|193.95|9653.02|10027.54|189.60|10217.14|10144.28|186.33|10330.61|10361.63|184.49|10546.12|10973.67|187.98|11161.65|11504.86|189.42|11694.28|11748.05|185.44|11933.49|12547.46|193.04|12740.50|12513.82|190.98|12704.80|13428.74|191.39|13620.13|15214.50|192.80|15407.30|19705.27|185.77|19891.04|2|148370615|2200674503|7837825737|98.11|109717665|2397613457|966094725|88.64|1732|672528|0|4458|0|44798157|0.007|875167|216Mb|0|216Mb|100000|4|2059024|19197052|50249890497|100.00|8179499|16358426|269282264|96.96|20095|414637|0|4076|0|580144|0.012|7599355|12338Mb|0|12338Mb|3000000|8|17080116|307856336|218947057176|99.99|35515470|142058576|764532705|95.35|136259|183453|0|4425|0|23030154|0.008|12485316|32022Mb|0|32022Mb|4000000|16|9880414|750169248|81535033058|99.99|31123365|248986920|2210915088|98.59|321514|16795043|0|4409|0|0|0|31123365|31636Mb|0|31636Mb|2000000|
11/11/18|00:01:58|177390307|3277914420|358577524299|99.95|184536855|2805039390|4211062313|97.07|607536664203|10373511220|11178549164|98630873326|1105658631|222691490|201335530|239736138|6470328|0|0|0|0|0|0|0|0|0|0|923601.05|65210.95|4414|19248|18065748|9468115|931036764464|51|0|25740|37943481|10703441786|4729782|93169938|6770135|2|47106849|1097|1138|P-2|118|256|292669623|1138837|256.99|2:53|1023947|728529|49357|4.82|L-1|23|256|4040050865|187290017|1314888|21.6|142.4|OLDRSAM|4040033762|377061948120|4080000|60695|99305463808|22125499|2118999|0|1204|49|680502|492|-1266945693|-1007127900|1|70|100000|0|113649.00|12589.57|126238.57|109631.19|10873.93|120505.12|107049.35|10822.59|117871.94|105790.50|11216.87|117007.37|91709.43|9614.75|101324.18|13974.87|1190.68|15165.55|10230.50|956.06|11186.56|19182.04|486.29|19668.33|16822.10|421.65|17243.75|15404.93|366.74|15771.67|13293.84|323.41|13617.25|11790.02|289.81|12079.83|10727.35|264.33|10991.68|9998.52|248.22|10246.74|9687.31|234.36|9921.67|9332.29|228.24|9560.53|9184.45|220.05|9404.50|8886.60|215.42|9102.02|8632.96|207.46|8840.42|8590.99|208.82|8799.81|8695.96|212.46|8908.42|8780.53|206.46|8986.99|8705.28|202.64|8907.92|8718.49|198.71|8917.20|9111.30|199.59|9310.89|9204.50|201.79|9406.29|9214.70|196.36|9411.06|9812.32|195.99|10008.31|9459.09|193.95|9653.04|10027.81|189.61|10217.42|10144.30|186.34|10330.64|10361.65|184.50|10546.15|10973.73|187.98|11161.71|11504.88|189.42|11694.30|11748.15|185.45|11933.60|12547.51|193.05|12740.56|12513.91|190.99|12704.90|13428.76|191.40|13620.16|15214.51|192.81|15407.32|19705.28|185.78|19891.06|2|148370616|2200674504|7837848462|98.11|109717761|2397634006|966096020|88.64|3027|672528|0|4458|0|44798157|0.007|875167|216Mb|0|216Mb|100000|4|2059024|19197052|50251348971|100.00|8179499|16358426|269288258|96.96|26089|414637|0|4076|0|580144|0.012|7599355|12338Mb|0|12338Mb|3000000|8|17080116|307856336|218952327383|99.99|35516494|142063696|764603267|95.35|206821|183466|0|4425|0|23031178|0.008|12485316|32022Mb|0|32022Mb|4000000|16|9880551|750186528|81536482023|99.99|31123365|248986920|2211087386|98.59|493812|16795135|0|4409|0|0|0|31123365|31636Mb|0|31636Mb|2000000|
11/11/18|00:02:54|177390447|3277929709|358585477650|99.95|184540157|2805073091|4211321701|97.07|607549661707|10373881557|11179084112|98632328044|1105697731|222703913|201357362|239751914|6470334|0|0|0|0|0|0|0|0|0|0|923637.73|65215.49|4414|19248|18065862|9469353|931058761329|51|0|25740|37944754|10703926669|4729782|93169938|6770135|2|47106849|1099|1142|P-1|168|256|292672729|1138849|256.99|2:53|1023947|731379|52257|5.10|L-2|157|256|4040360375|187306887|1314970|21.6|142.4|OLDRSAM|4040343272|377095375172|4080000|77648|99305463808|22118847|2125651|0|1205|49|680575|492|-1266658493|-1006838640|1|74|100000|0|113656.27|12590.51|126246.78|109638.99|10874.75|120513.74|107055.30|10823.29|117878.59|105798.77|11218.02|117016.79|91714.60|9615.48|101330.08|13974.95|1190.69|15165.64|10230.61|956.08|11186.69|19182.09|486.30|19668.39|16822.11|421.66|17243.77|15404.96|366.75|15771.71|13294.08|323.41|13617.49|11790.03|289.81|12079.84|10727.36|264.34|10991.70|9998.56|248.23|10246.79|9687.32|234.36|9921.68|9332.31|228.24|9560.55|9184.46|220.05|9404.51|8886.62|215.42|9102.04|8633.02|207.47|8840.49|8591.04|208.83|8799.87|8695.98|212.47|8908.45|8780.84|206.47|8987.31|8705.29|202.64|8907.93|8718.50|198.72|8917.22|9111.41|199.60|9311.01|9204.66|201.80|9406.46|9214.99|196.37|9411.36|9812.34|196.00|10008.34|9459.10|193.96|9653.06|10027.92|189.61|10217.53|10144.31|186.35|10330.66|10361.66|184.50|10546.16|10974.46|187.99|11162.45|11504.90|189.43|11694.33|11748.32|185.46|11933.78|12547.51|193.05|12740.56|12513.92|191.00|12704.92|13428.79|191.40|13620.19|15214.56|192.82|15407.38|19705.29|185.78|19891.07|2|148370619|2200674507|7837866365|98.11|109717855|2397653297|966096999|88.64|4006|672528|0|4458|0|44798157|0.007|875167|216Mb|0|216Mb|100000|4|2059025|19197054|50252795800|100.00|8179499|16358426|269299033|96.96|36864|414637|0|4076|0|580144|0.012|7599355|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218956992080|99.99|35519438|142074448|764670206|95.35|273760|183477|0|4425|0|23034122|0.008|12485316|32022Mb|0|32022Mb|4000000|16|9880686|750201808|81537823405|99.99|31123365|248986920|2211255463|98.59|661889|16795220|0|4409|0|0|0|31123365|31636Mb|0|31636Mb|2000000|
11/11/18|00:03:50|177393326|3278029597|358593281340|99.95|184549675|2805180281|4211557404|97.07|607561884119|10374165147|11179581785|98633754316|1105735162|222714244|201375938|239764669|6470339|0|0|0|0|0|0|0|0|0|0|923672.38|65220.04|4415|19252|18065971|9470257|931080481532|51|0|25740|37946093|10704394873|4729782|93169938|6770135|2|47106849|1085|1124|P-2|114|256|292678835|1138874|256.99|2:53|1023947|743704|7318|0.71|L-1|225|256|4040656546|187322520|1315145|21.6|142.4|OLDRSAM|4040639442|377127330584|4080000|8029|99305463808|22118377|2126121|0|1192|49|680658|492|-1266399979|-1006578340|1|8|100000|0|113662.85|12591.50|126254.35|109646.45|10875.44|120521.89|107060.98|10824.04|117885.02|105805.06|11218.91|117023.97|91720.26|9616.22|101336.48|13975.38|1190.87|15166.25|10230.66|956.10|11186.76|19182.18|486.31|19668.49|16822.14|421.68|17243.82|15405.03|366.77|15771.80|13294.12|323.44|13617.56|11790.12|289.83|12079.95|10727.39|264.35|10991.74|9998.59|248.24|10246.83|9687.71|234.38|9922.09|9332.35|228.25|9560.60|9184.53|220.06|9404.59|8886.68|215.43|9102.11|8633.05|207.49|8840.54|8591.20|208.84|8800.04|8695.99|212.48|8908.47|8780.94|206.47|8987.41|8705.39|202.66|8908.05|8718.69|198.74|8917.43|9111.45|199.62|9311.07|9204.68|201.80|9406.48|9215.02|196.37|9411.39|9812.41|196.01|10008.42|9459.18|193.97|9653.15|10028.03|189.62|10217.65|10144.43|186.35|10330.78|10361.81|184.51|10546.32|10974.56|188.00|11162.56|11504.92|189.44|11694.36|11748.34|185.47|11933.81|12547.59|193.06|12740.65|12513.96|191.00|12704.96|13428.99|191.41|13620.40|15214.58|192.82|15407.40|19705.40|185.79|19891.19|2|148373381|2200759515|7837906787|98.11|109718327|2397680253|966098149|88.64|79|672528|0|4459|0|44798157|0.007|875279|216Mb|0|216Mb|100000|4|2059025|19197054|50254230020|100.00|8180808|16363212|269305479|96.96|182|414637|0|4077|0|580144|0.012|7600648|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218962021080|99.99|35524379|142105848|764736285|95.35|1469|183489|0|4426|0|23035140|0.008|12489176|32022Mb|0|32022Mb|4000000|16|9880803|750216688|81539123453|99.99|31126161|249030968|2211417491|98.59|3259|16795317|0|4410|0|0|0|31126161|31636Mb|0|31636Mb|2000000|
11/11/18|00:04:47|177393469|3278053470|358601147442|99.95|184556635|2805233402|4211774499|97.07|607574313213|10374444760|11180074258|98635197529|1105770180|222725480|201392176|239778005|6470342|0|0|0|0|0|0|0|0|0|0|923707.90|65224.34|4415|19252|18066041|9471066|931102285493|51|0|25742|37947210|10704857156|4729782|93169938|6770135|2|47106849|1097|1140|P-2|124|256|292720767|1139036|256.99|2:53|1023947|779931|43555|4.25|L-2|99|256|4040930447|187337868|1315224|21.6|142.4|OLDRSAM|4040913343|377158192420|4080000|23885|99305463808|22121501|2122997|0|1205|49|680747|492|-1266118829|-1006295183|1|48|100000|0|113670.23|12592.41|126262.64|109654.50|10876.16|120530.66|107066.34|10824.67|117891.01|105811.63|11219.88|117031.51|91726.34|9617.07|101343.41|13975.48|1190.88|15166.36|10230.76|956.11|11186.87|19182.24|486.32|19668.56|16822.22|421.69|17243.91|15405.04|366.77|15771.81|13294.24|323.44|13617.68|11790.13|289.83|12079.96|10727.39|264.35|10991.74|9998.59|248.24|10246.83|9687.74|234.38|9922.12|9332.36|228.25|9560.61|9184.54|220.07|9404.61|8886.69|215.43|9102.12|8633.05|207.49|8840.54|8591.21|208.84|8800.05|8696.00|212.48|8908.48|8780.95|206.47|8987.42|8705.61|202.67|8908.28|8718.97|198.74|8917.71|9111.47|199.62|9311.09|9204.69|201.81|9406.50|9215.04|196.37|9411.41|9812.61|196.01|10008.62|9459.19|193.98|9653.17|10028.05|189.62|10217.67|10144.44|186.35|10330.79|10361.82|184.51|10546.33|10974.64|188.00|11162.64|11504.93|189.44|11694.37|11748.36|185.47|11933.83|12547.80|193.07|12740.87|12513.96|191.00|12704.96|13429.00|191.41|13620.41|15214.59|192.83|15407.42|19705.47|185.79|19891.26|2|148373382|2200759516|7837927715|98.11|109718584|2397733374|966098945|88.64|875|672528|0|4459|0|44798157|0.007|875295|216Mb|0|216Mb|100000|4|2059025|19197054|50255674189|100.00|8181892|16363212|269313848|96.96|8551|414637|0|4077|0|580144|0.012|7601748|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218967099197|99.99|35527288|142105848|764800109|95.35|65293|183498|0|4426|0|23035528|0.008|12491760|32022Mb|0|32022Mb|4000000|16|9880945|750240560|81540446341|99.99|31128871|249030968|2211561597|98.59|147365|16795378|0|4410|0|0|0|31128871|31636Mb|0|31636Mb|2000000|
11/11/18|00:05:43|177393592|3278068607|358608802684|99.95|184556877|2805257475|4212045080|97.07|607586763499|10374763327|11180593525|98636637157|1105812896|222736596|201412788|239792680|6470345|0|0|0|0|0|0|0|0|0|0|923745.54|65228.91|4415|19252|18066149|9472020|931123295908|51|0|25742|37948730|10705341536|4729782|93169938|6770135|2|47106849|1095|1140|P-2|172|256|292727489|1139062|256.99|2:53|1023947|786139|49811|4.86|L-1|17|256|4041285539|187356503|1315317|21.6|142.4|OLDRSAM|4041268435|377195804280|4080000|42264|99305463808|22125807|2118691|0|1205|49|680859|492|-1265816328|-1005990573|1|59|100000|0|113677.18|12593.31|126270.49|109663.45|10877.02|120540.47|107072.72|10825.43|117898.15|105818.48|11220.84|117039.32|91731.94|9617.90|101349.84|13975.56|1190.90|15166.46|10230.85|956.12|11186.97|19182.26|486.32|19668.58|16822.23|421.69|17243.92|15405.16|366.77|15771.93|13294.40|323.45|13617.85|11790.14|289.83|12079.97|10727.42|264.35|10991.77|9998.61|248.25|10246.86|9687.75|234.38|9922.13|9332.38|228.26|9560.64|9184.82|220.07|9404.89|8886.71|215.43|9102.14|8633.07|207.49|8840.56|8591.33|208.84|8800.17|8696.01|212.48|8908.49|8780.97|206.48|8987.45|8705.67|202.68|8908.35|8719.01|198.74|8917.75|9111.49|199.62|9311.11|9204.71|201.81|9406.52|9215.08|196.38|9411.46|9812.63|196.01|10008.64|9459.21|193.98|9653.19|10028.09|189.63|10217.72|10144.55|186.36|10330.91|10361.85|184.52|10546.37|10974.73|188.01|11162.74|11505.02|189.45|11694.47|11748.39|185.48|11933.87|12547.83|193.07|12740.90|12514.06|191.01|12705.07|13429.28|191.42|13620.70|15214.73|192.83|15407.56|19705.50|185.80|19891.30|2|148373383|2200759517|7837950582|98.11|109718703|2397758217|966100308|88.64|2238|672528|0|4459|0|44798157|0.007|875295|216Mb|0|216Mb|100000|4|2059025|19197054|50257123805|100.00|8181892|16363212|269322510|96.96|17213|414637|0|4077|0|580144|0.012|7601748|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218972163259|99.99|35527416|142106360|764876788|95.36|141972|183513|0|4426|0|23035656|0.008|12491760|32022Mb|0|32022Mb|4000000|16|9881067|750255696|81541955300|99.99|31128871|249030968|2211758214|98.59|343982|16795472|0|4410|0|0|0|31128871|31636Mb|0|31636Mb|2000000|
11/11/18|00:06:39|177393764|3278092415|358616649027|99.95|184558113|2805282607|4212259162|97.07|607599118508|10375101852|11181044613|98637986970|1105847670|222747159|201426692|239806363|6470351|0|0|0|0|0|0|0|0|0|0|923780.58|65233.01|4415|19252|18066237|9472871|931145298459|51|0|25742|37950234|10705763823|4729782|93169938|6770135|2|47106849|1096|1190|P-2|186|256|292731373|1139077|256.99|2:53|1023947|790283|53969|5.27|L-1|74|256|4041541712|187370263|1315381|21.6|142.4|OLDRSAM|4041524608|377223297284|4080000|57874|99305463808|22124283|2120215|0|1202|49|680930|492|-1265551416|-1005723774|1|64|100000|0|113683.80|12594.13|126277.93|109672.14|10877.75|120549.89|107078.45|10826.13|117904.58|105825.68|11221.82|117047.50|91737.27|9618.63|101355.90|13975.60|1190.91|15166.51|10230.86|956.12|11186.98|19182.27|486.32|19668.59|16822.36|421.70|17244.06|15405.29|366.78|15772.07|13294.41|323.45|13617.86|11790.16|289.84|12080.00|10727.67|264.36|10992.03|9998.62|248.25|10246.87|9687.77|234.38|9922.15|9332.42|228.27|9560.69|9184.83|220.07|9404.90|8886.71|215.43|9102.14|8633.08|207.50|8840.58|8591.33|208.84|8800.17|8696.05|212.49|8908.54|8780.98|206.49|8987.47|8705.67|202.68|8908.35|8719.02|198.75|8917.77|9111.51|199.63|9311.14|9204.95|201.81|9406.76|9215.09|196.38|9411.47|9812.74|196.02|10008.76|9459.26|193.99|9653.25|10028.10|189.63|10217.73|10144.83|186.37|10331.20|10361.86|184.52|10546.38|10974.75|188.01|11162.76|11505.06|189.45|11694.51|11748.54|185.48|11934.02|12547.84|193.07|12740.91|12514.18|191.02|12705.20|13429.35|191.43|13620.78|15214.74|192.83|15407.57|19705.51|185.80|19891.31|2|148373383|2200759517|7837968561|98.11|109718782|2397777459|966102981|88.64|4911|672528|0|4459|0|44798157|0.007|875295|216Mb|0|216Mb|100000|4|2059025|19197054|50258524441|100.00|8181892|16363212|269329975|96.96|24678|414637|0|4077|0|580144|0.012|7601748|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218976986708|99.99|35528568|142110968|764930388|95.36|195572|183529|0|4426|0|23036808|0.008|12491760|32022Mb|0|32022Mb|4000000|16|9881239|750279504|81543169317|99.99|31128871|249030968|2211895818|98.59|481586|16795543|0|4410|0|0|0|31128871|31636Mb|0|31636Mb|2000000|
11/11/18|00:07:36|177393920|3278119911|358624338731|99.95|184560753|2805308198|4212469369|97.07|607611311468|10375404948|11181534082|98639381972|1105880837|222757864|201444377|239818989|6470356|0|0|0|0|0|0|0|0|0|0|923813.28|65236.83|4415|19252|18066278|9473558|931166849560|51|0|25742|37951525|10706227555|4729782|93169938|6770135|2|47106849|1091|1136|P-1|46|256|292733691|1139086|256.99|2:53|1023947|792601|56147|5.48|L-2|124|256|4041809398|187385007|1315452|21.6|142.4|OLDRSAM|4041792294|377253167308|4080000|71423|99305463808|22124092|2120406|0|1203|49|681125|492|-1265309022|-1005479742|1|67|100000|0|113689.86|12594.96|126284.82|109680.46|10878.41|120558.87|107083.67|10826.77|117910.44|105831.80|11222.60|117054.40|91742.41|9619.36|101361.77|13975.66|1190.92|15166.58|10231.11|956.14|11187.25|19182.29|486.33|19668.62|16822.40|421.71|17244.11|15405.31|366.79|15772.10|13294.42|323.46|13617.88|11790.19|289.84|12080.03|10727.69|264.36|10992.05|9998.70|248.25|10246.95|9687.94|234.39|9922.33|9332.46|228.27|9560.73|9184.87|220.08|9404.95|8886.78|215.44|9102.22|8633.25|207.50|8840.75|8591.35|208.85|8800.20|8696.06|212.49|8908.55|8781.00|206.49|8987.49|8705.89|202.69|8908.58|8719.03|198.75|8917.78|9111.53|199.63|9311.16|9204.97|201.82|9406.79|9215.10|196.39|9411.49|9812.76|196.02|10008.78|9459.28|194.00|9653.28|10028.11|189.64|10217.75|10145.04|186.37|10331.41|10361.87|184.53|10546.40|10974.85|188.02|11162.87|11505.08|189.45|11694.53|11748.75|185.49|11934.24|12548.06|193.08|12741.14|12514.22|191.02|12705.24|13429.45|191.43|13620.88|15214.75|192.84|15407.59|19705.53|185.80|19891.33|2|148373383|2200759517|7837985519|98.11|109718862|2397792810|966103549|88.64|5479|672528|0|4459|0|44798157|0.007|875295|216Mb|0|216Mb|100000|4|2059025|19197054|50259942258|100.00|8181892|16363212|269336277|96.96|30980|414637|0|4077|0|580144|0.012|7601748|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218981952426|99.99|35531128|142121208|764991161|95.36|256345|183538|0|4426|0|23039368|0.008|12491760|32022Mb|0|32022Mb|4000000|16|9881395|750307000|81544458528|99.99|31128871|249030968|2212038382|98.59|624150|16795575|0|4410|0|0|0|31128871|31636Mb|0|31636Mb|2000000|
11/11/18|00:08:32|177396510|3278216818|358632355572|99.95|184561192|2805329493|4212705711|97.07|607624300822|10375724304|11182057172|98640935958|1105918738|222770345|201463351|239833841|6470360|0|0|0|0|0|0|0|0|0|0|923851.52|65241.52|4415|19252|18066333|9474330|931189010052|51|0|25742|37952974|10706718587|4729782|93169938|6770135|2|47106849|1095|1138|P-1|32|256|292737064|1139099|256.99|2:53|1023947|795714|59246|5.79|L-2|46|256|4042111813|187402048|1315622|21.6|142.4|OLDRSAM|4042094709|377287411524|4080000|12553|99305463808|22112009|2132489|0|1201|49|681247|492|-1265032188|-1005200718|1|108|100000|0|113696.84|12595.92|126292.76|109689.51|10879.22|120568.73|107090.00|10827.50|117917.50|105839.00|11223.65|117062.65|91747.79|9620.10|101367.89|13976.19|1191.07|15167.26|10231.15|956.15|11187.30|19182.40|486.33|19668.73|16822.44|421.72|17244.16|15405.37|366.79|15772.16|13294.44|323.47|13617.91|11790.20|289.85|12080.05|10727.71|264.36|10992.07|9998.81|248.26|10247.07|9688.02|234.39|9922.41|9332.68|228.27|9560.95|9185.21|220.08|9405.29|8886.82|215.44|9102.26|8633.26|207.51|8840.77|8591.36|208.85|8800.21|8696.07|212.50|8908.57|8781.12|206.50|8987.62|8706.18|202.69|8908.87|8719.04|198.76|8917.80|9111.54|199.64|9311.18|9204.99|201.82|9406.81|9215.21|196.39|9411.60|9812.78|196.03|10008.81|9459.30|194.01|9653.31|10028.14|189.65|10217.79|10145.21|186.38|10331.59|10361.90|184.54|10546.44|10974.88|188.02|11162.90|11505.10|189.46|11694.56|11748.78|185.49|11934.27|12548.09|193.08|12741.17|12514.42|191.02|12705.44|13429.84|191.44|13621.28|15214.78|192.84|15407.62|19705.55|185.81|19891.36|2|148375816|2200834520|7838026123|98.11|109719045|2397813081|966104693|88.64|6623|672528|0|4459|0|44798157|0.007|875295|216Mb|0|216Mb|100000|4|2059025|19197054|50261424824|100.00|8181892|16363212|269344079|96.96|38782|414637|0|4077|0|580144|0.012|7601748|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218987054632|99.99|35531384|142122232|765059632|95.36|324816|183541|0|4426|0|23039624|0.008|12491760|32022Mb|0|32022Mb|4000000|16|9881552|750328904|81545849993|99.99|31128871|249030968|2212197307|98.59|783075|16795627|0|4410|0|0|0|31128871|31636Mb|0|31636Mb|2000000|
11/11/18|00:09:28|177396626|3278231805|358639717887|99.95|184578531|2805471327|4212912716|97.07|607635751732|10375996455|11182499688|98642208364|1105950520|222780584|201480712|239846122|6470366|0|0|0|0|0|0|0|0|0|0|923886.52|65245.94|4416|19256|18066401|9475079|931209446975|51|0|25743|37953957|10707135115|4729782|93169938|6770135|2|47106850|1097|1138|P-2|134|256|292777388|1139256|256.99|2:53|1023947|837070|38739|3.78|L-3|124|256|4042385211|187417139|1315700|21.6|142.4|OLDRSAM|4042368106|377317823184|4080000|27736|99305463808|22124282|2120216|0|1203|49|681317|492|-1264766976|-1004933694|1|47|100000|0|113703.86|12596.83|126300.69|109696.63|10879.92|120576.55|107095.19|10828.17|117923.36|105845.88|11224.54|117070.42|91753.78|9620.88|101374.66|13976.47|1191.10|15167.57|10231.17|956.16|11187.33|19182.69|486.34|19669.03|16822.49|421.76|17244.25|15405.49|366.81|15772.30|13294.45|323.49|13617.94|11790.23|289.87|12080.10|10727.83|264.39|10992.22|9998.84|248.28|10247.12|9688.03|234.40|9922.43|9332.73|228.29|9561.02|9185.32|220.10|9405.42|8886.83|215.46|9102.29|8633.29|207.51|8840.80|8591.36|208.87|8800.23|8696.24|212.50|8908.74|8781.14|206.52|8987.66|8706.20|202.71|8908.91|8719.06|198.77|8917.83|9111.66|199.64|9311.30|9205.00|201.82|9406.82|9215.29|196.39|9411.68|9812.79|196.03|10008.82|9459.53|194.01|9653.54|10028.15|189.65|10217.80|10145.23|186.38|10331.61|10361.91|184.55|10546.46|10974.92|188.03|11162.95|11505.24|189.46|11694.70|11748.79|185.50|11934.29|12548.15|193.08|12741.23|12514.48|191.03|12705.51|13429.97|191.45|13621.42|15214.79|192.85|15407.64|19705.62|185.81|19891.43|2|148375819|2200834523|7838042090|98.11|109719571|2397869653|966105271|88.64|354|672528|0|4460|0|44798157|0.007|875426|216Mb|0|216Mb|100000|4|2059025|19197054|50262837858|100.00|8184455|16368338|269353396|96.96|7434|414637|0|4078|0|580144|0.012|7604311|12338Mb|0|12338Mb|3000000|8|17080117|307856340|218992150622|99.99|35539451|142154500|765122956|95.36|44968|183550|0|4427|0|23041693|0.008|12497758|32022Mb|0|32022Mb|4000000|16|9881680|750347488|81547152022|99.99|31135059|249080472|2212342315|98.59|102822|16795691|0|4411|0|0|0|31135059|31636Mb|0|31636Mb|2000000|
