date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
02/11/18|00:01:01|289553198|6478356927|884047187805|99.97|457330251|3756466715|9289920209|95.34|1100868286692|19983696444|49529059659|172591514420|2669706498|368377139|469421727|353629435|3263344|0|0|0|0|0|0|0|0|0|0|2437077.46|191181.16|15759|68356|21587097|27436824|1867648217114|12449|0|63927|108387045|18115891230|2940880|256336195|68285343|270|117481839|1072|1107|P-1|246|256|703919076|2756831|255.34|2:53|1023947|525506|59943|5.85|L-3|13|256|8138919461|469048607|70346886|17.4|6.7|OLDRSAM|8138731228|863170945508|4080000|67475|104347017216|24220919|1254427|0|1176|49|2290476|197|-396961981|-246851569|1|87|100000|0|338111.74|36729.61|374841.35|328804.71|33076.28|361880.99|353454.78|30734.13|384188.91|301332.55|31764.17|333096.72|391131.47|34940.82|426072.29|40970.97|2963.94|43934.91|26995.60|2351.47|29347.07|48068.20|1087.02|49155.22|38231.09|894.80|39125.89|31486.88|759.72|32246.60|26498.24|667.05|27165.29|23349.96|624.13|23974.09|20691.81|591.08|21282.89|19320.58|544.01|19864.59|17747.79|556.30|18304.09|17358.92|510.37|17869.29|16675.15|532.44|17207.59|
02/11/18|00:01:58|289553438|6478411765|884059806551|99.97|457345528|3756598432|9290144319|95.34|1100883752352|19984026564|49529584502|172593871591|2669740844|368391624|469436214|353647849|3263349|0|0|0|0|0|0|0|0|0|0|2437130.36|191188.89|15760|68360|21587198|27437433|1867692097302|12449|0|63928|108389424|18116362120|2940880|256336195|68285343|270|117481840|1071|1122|P-1|46|256|703963016|2757003|255.34|2:53|1023947|570222|42867|4.19|L-3|34|256|8139213676|469064041|70346970|17.4|6.7|OLDRSAM|8139025442|863202031688|4080000|82909|104347017216|24222257|1253089|0|1175|49|2290493|197|-396442874|-246328763|1|58|100000|0|338120.68|36730.61|374851.29|328812.71|33077.25|361889.96|353462.16|30735.60|384197.76|301344.94|31766.61|333111.55|391141.36|34942.21|426083.57|40971.09|2963.98|43935.07|26995.65|2351.49|29347.14|48068.36|1087.04|49155.40|38231.39|894.82|39126.21|31487.07|759.74|32246.81|26498.52|667.07|27165.59|23350.00|624.13|23974.13|20692.10|591.09|21283.19|19320.67|544.01|19864.68|17747.99|556.31|18304.30|17359.39|510.38|17869.77|16675.27|532.45|17207.72|
02/11/18|00:02:56|289553735|6478460629|884071698105|99.97|457346694|3756624287|9290311443|95.34|1100897202660|19984283199|49529979335|172595997470|2669764830|368403716|469448435|353664245|3263356|0|0|0|0|0|0|0|0|0|0|2437176.85|191194.75|15760|68360|21587249|27437930|1867734827952|12449|0|63928|108391033|18116714667|2940880|256336195|68285343|270|117481840|1072|1106|P-1|80|256|703968956|2757026|255.34|2:53|1023947|575386|48065|4.69|L-3|8|256|8139435953|469075250|70347025|17.4|6.7|OLDRSAM|8139247719|863224637580|4080000|93862|104347017216|24224380|1250966|0|1174|49|2290505|197|-396032209|-245915552|1|66|100000|0|338129.13|36731.56|374860.69|328818.02|33077.81|361895.83|353467.94|30736.61|384204.55|301356.71|31768.50|333125.21|391151.25|34943.53|426094.78|40971.17|2963.99|43935.16|26995.71|2351.49|29347.20|48069.15|1087.05|49156.20|38231.55|894.82|39126.37|31487.27|759.75|32247.02|26498.88|667.07|27165.95|23350.08|624.14|23974.22|20692.10|591.09|21283.19|19320.91|544.02|19864.93|17748.00|556.31|18304.31|17359.39|510.38|17869.77|16675.28|532.45|17207.73|
02/11/18|00:03:53|289553866|6478480429|884085068617|99.97|457349649|3756681678|9290682375|95.34|1100914728612|19984608349|49530802252|172598794872|2669827862|368419758|469468268|353685073|3263361|0|0|0|0|0|0|0|0|0|0|2437238.71|191202.36|15760|68360|21587464|27439211|1867780645637|12449|0|63928|108393765|18117475848|2940880|256336195|68285343|270|117481842|1071|1138|P-2|12|256|703975102|2757050|255.34|2:53|1023947|581789|54400|5.31|L-1|8|256|8139962840|469101343|70347151|17.4|6.7|OLDRSAM|8139774606|863277623484|4080000|121267|104347017216|24222383|1252963|0|1178|49|2290528|197|-395475877|-245354374|1|71|100000|0|338140.55|36732.84|374873.39|328828.26|33079.10|361907.36|353477.23|30738.06|384215.29|301369.14|31770.83|333139.97|391162.63|34944.94|426107.57|40971.69|2964.04|43935.73|26996.00|2351.52|29347.52|48069.35|1087.06|49156.41|38231.62|894.83|39126.45|31487.53|759.75|32247.28|26498.94|667.08|27166.02|23350.10|624.15|23974.25|20692.24|591.09|21283.33|19321.38|544.02|19865.40|17748.52|556.32|18304.84|17359.63|510.39|17870.02|16675.39|532.46|17207.85|
02/11/18|00:04:50|289554151|6478535104|884099893790|99.97|457355332|3756767058|9291430518|95.34|1100937200949|19984955245|49532265676|172602307924|2669962264|368441131|469497204|353714744|3263367|0|0|0|0|0|0|0|0|0|0|2437318.27|191212.75|15760|68360|21587931|27441574|1867828207882|12449|0|63928|108398256|18118849210|2940880|256336195|68285343|270|117481847|1071|1136|P-2|254|256|703982530|2757079|255.34|2:53|1023947|588960|61813|6.04|L-3|214|256|8140844389|469143495|70347357|17.4|6.7|OLDRSAM|8140656155|863362467776|4080000|162363|104347017216|24228536|1246810|0|1175|49|2290551|197|-394744989|-244616997|1|81|100000|0|338156.76|36735.00|374891.76|328842.34|33080.97|361923.31|353490.11|30740.11|384230.22|301382.72|31772.91|333155.63|391175.97|34946.61|426122.58|40972.20|2964.10|43936.30|26996.12|2351.55|29347.67|48069.53|1087.07|49156.60|38232.06|894.84|39126.90|31487.73|759.76|32247.49|26499.24|667.08|27166.32|23350.37|624.15|23974.52|20692.48|591.09|21283.57|19321.40|544.02|19865.42|17748.57|556.32|18304.89|17359.94|510.39|17870.33|16675.41|532.46|17207.87|
02/11/18|00:05:47|289559992|6478757886|884112155314|99.97|457359710|3756808917|9291684150|95.34|1100951818533|19985145766|49532860814|172604664880|2670000120|368453990|469519189|353731501|3263374|0|0|0|0|0|0|0|0|0|0|2437372.13|191220.37|15760|68360|21588026|27442123|1867872952260|12449|0|63928|108400239|18119412382|2940880|256336195|68285343|270|117481848|1071|1106|P-1|186|256|703985725|2757092|255.34|2:53|1023947|592155|64940|6.34|L-2|70|256|8141169339|469160399|70347634|17.4|6.7|OLDRSAM|8140981105|863396022256|4080000|5228|104347017216|24228486|1246860|0|1173|49|2290597|197|-394276424|-244144919|1|148|100000|0|338166.45|36736.27|374902.72|328850.44|33082.06|361932.50|353498.30|30741.35|384239.65|301392.29|31774.83|333167.12|391186.33|34948.12|426134.45|40972.90|2964.33|43937.23|26996.21|2351.58|29347.79|48069.63|1087.07|49156.70|38232.58|894.84|39127.42|31488.22|759.77|32247.99|26499.44|667.10|27166.54|23350.39|624.15|23974.54|20692.76|591.10|21283.86|19321.41|544.03|19865.44|17748.61|556.32|18304.93|17359.97|510.39|17870.36|16675.50|532.47|17207.97|
02/11/18|00:06:45|289560244|6478789261|884124471043|99.97|457375273|3756937240|9291967498|95.34|1100966536813|19985368992|49533472133|172607009178|2670043273|368466396|469540285|353747678|3263380|0|0|0|0|0|0|0|0|0|0|2437424.18|191228.10|15761|68368|21588163|27442902|1867917119360|12449|0|63934|108402232|18119986051|2940880|256336195|68285343|270|117481849|1071|1117|P-1|104|256|704020865|2757230|255.34|2:53|1023947|629098|34324|3.35|L-2|244|256|8141501047|469177102|70347726|17.4|6.7|OLDRSAM|8141312812|863429607868|4080000|20714|104347017216|24228326|1247020|0|1173|49|2290671|197|-393794881|-243660033|1|53|100000|0|338174.27|36737.21|374911.48|328859.33|33083.33|361942.66|353506.07|30742.72|384248.79|301402.29|31776.54|333178.83|391198.01|34949.95|426147.96|40973.06|2964.37|43937.43|26996.28|2351.61|29347.89|48069.85|1087.10|49156.95|38232.77|894.86|39127.63|31488.25|759.77|32248.02|26500.22|667.11|27167.33|23350.61|624.17|23974.78|20693.08|591.10|21284.18|19321.45|544.04|19865.49|17748.63|556.33|18304.96|17360.52|510.41|17870.93|16675.52|532.48|17208.00|
02/11/18|00:07:42|289560501|6478842837|884136021065|99.97|457375754|3756962904|9292141524|95.34|1100979615254|19985595379|49533909415|172609068967|2670069035|368477068|469552932|353762351|3263385|0|0|0|0|0|0|0|0|0|0|2437470.55|191234.52|15761|68368|21588233|27443421|1867959443799|12449|0|63934|108403514|18120388466|2940880|256336195|68285343|270|117481850|1072|1107|P-2|116|256|704031719|2757272|255.34|2:53|1023947|638663|43901|4.29|L-1|251|256|8141729622|469188579|70347780|17.4|6.7|OLDRSAM|8141541387|863452897300|4080000|31935|104347017216|24228643|1246703|0|1174|49|2290712|197|-393374709|-243237271|1|58|100000|0|338182.13|36738.10|374920.23|328865.39|33084.07|361949.46|353513.98|30744.10|384258.08|301411.21|31778.37|333189.58|391209.13|34951.56|426160.69|40973.15|2964.38|43937.53|26996.33|2351.62|29347.95|48070.07|1087.10|49157.17|38232.99|894.86|39127.85|31488.27|759.78|32248.05|26500.26|667.12|27167.38|23350.75|624.17|23974.92|20693.37|591.11|21284.48|19322.04|544.05|19866.09|17748.83|556.34|18305.17|17360.75|510.41|17871.16|16675.59|532.48|17208.07|
02/11/18|00:08:39|289560774|6478903717|884149123718|99.97|457378595|3757021046|9292544951|95.34|1100996411271|19985868456|49534743917|172611681775|2670140795|368491635|469568137|353781893|3263391|0|0|0|0|0|0|0|0|0|0|2437528.55|191242.11|15761|68368|21588479|27444694|1868005024026|12449|0|63934|108406674|18121165828|2940880|256336195|68285343|270|117481852|1070|1146|P-2|22|256|704040768|2757307|255.34|2:53|1023947|647456|52600|5.14|L-3|75|256|8142287068|469215394|70347907|17.4|6.7|OLDRSAM|8142098833|863506685784|4080000|60512|104347017216|24228965|1246381|0|1175|49|2290732|197|-392793874|-242652080|1|61|100000|0|338193.31|36739.75|374933.06|328875.34|33085.49|361960.83|353524.65|30745.66|384270.31|301421.25|31779.97|333201.22|391221.13|34953.27|426174.40|40973.40|2964.43|43937.83|26996.41|2351.63|29348.04|48070.87|1087.11|49157.98|38233.43|894.87|39128.30|31488.45|759.78|32248.23|26500.40|667.12|27167.52|23351.17|624.18|23975.35|20693.66|591.11|21284.77|19322.39|544.05|19866.44|17749.11|556.34|18305.45|17360.82|510.41|17871.23|16675.60|532.49|17208.09|
02/11/18|00:09:37|289561064|6478958878|884166078557|99.97|457388680|3757170699|9293865294|95.34|1101026312573|19986243192|49537174655|172616303143|2670392056|368519459|469598451|353821415|3263397|0|0|0|0|0|0|0|0|0|0|2437632.99|191256.55|15761|68368|21589256|27446844|1868056836757|12449|0|63934|108418198|18123455168|2940880|256336195|68285343|270|117481864|1070|1167|P-2|250|256|704055990|2757367|255.34|2:53|1023947|663112|68484|6.69|L-1|121|256|8143876845|469289907|70348265|17.4|6.7|OLDRSAM|8143688610|863656146872|4080000|135768|104347017216|24239172|1236174|1|1178|49|2290769|197|-391735636|-241585148|1|72|100000|0|338214.03|36742.53|374956.56|328896.70|33088.34|361985.04|353541.56|30748.80|384290.36|301436.95|31782.52|333219.47|391241.28|34955.63|426196.91|40974.28|2964.52|43938.80|26996.70|2351.68|29348.38|48071.34|1087.12|49158.46|38233.78|894.87|39128.65|31488.80|759.79|32248.59|26501.02|667.13|27168.15|23351.26|624.19|23975.45|20693.68|591.12|21284.80|19322.40|544.06|19866.46|17749.45|556.35|18305.80|17361.31|510.42|17871.73|16676.11|532.49|17208.60|
